Antworten, responder
Berichten, relacionar
Buchstabieren, soletrar
Ergänzen,completar
Fragen, perguntar
Heißen,chamar-se
Hören,escutar
Ich verstehe nicht, eu não entendo
Kommen,vir
Lernen,aprender/estudar
Lesen,ler
Nennen,nomear
Passen, encaixar... e outros
Sein,ser estar
Sich vorstellen, se apresentar
Sprechen, falar
Studieren,estudar na faculdade
Verstehen, entender
Wiederholen,repetir
Wohnen, morar/residir
----- Profissões,
Architekt,arquiteto
Arzt/Ärztin,médico/médica
Bauer,Fazendeiro
Bäker,Confeiteiro
Fernfahrer,Caminhoneiro
Feuerwehrmann,Bombeiro
Fotograf,fotógrafo
Friseuse,Cabeleireiro
Hausfrau,dona de casa
Ingenieur,engenheiro
Kellner,garçom
Kellner,garçon
Koch,cozinheiro
Komissar,detetive/comissário
Kunstmaler,pintor (artista)
Lehrer,professor
Maler,pintor
Mechaniker,Mecânico
Pfarrer,padre
Polizist, policial
Richter,Juiz
Seemann,marinheiro
Sekretärin,secretária
Softwareentwickler,desenvolvedor de software
Soldat,Soldado
Tankwart,Tio do posto de gasolina
Tischler,Carpinteiro
